"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","SABPH2760","SABPH2819","SABPH2900","SABPH2947","SABPH2986"
"group_2619","","Peptidase propeptide and YPEB domain protein","5","5","1","1","776","","","","572","572","572","BPOBBBHG_00345","PCKNBOAI_00750","LDKIDLOJ_00334","HHCDGDKF_00451","GIPNDHBP_00344"
"plsY","","Glycerol-3-phosphate acyltransferase","5","5","1","1","3405","","","","608","608","608","BPOBBBHG_01232","PCKNBOAI_02415","LDKIDLOJ_01216","HHCDGDKF_01386","GIPNDHBP_01340"
"argS","","Arginine--tRNA ligase","5","5","1","1","3004","","","","1661","1661","1661","BPOBBBHG_00586","PCKNBOAI_00525","LDKIDLOJ_00555","HHCDGDKF_00710","GIPNDHBP_00581"
"trxB","","Thioredoxin reductase","5","5","1","1","2284","","","","935","935","935","BPOBBBHG_00739","PCKNBOAI_00371","LDKIDLOJ_00711","HHCDGDKF_00863","GIPNDHBP_00751"
"group_2623","","Na+/Pi-cotransporter","5","5","1","1","2650","","","","1667","1667","1667","BPOBBBHG_00056","PCKNBOAI_01011","LDKIDLOJ_00079","HHCDGDKF_00125","GIPNDHBP_00075"
"norB_6","","Quinolone resistance protein NorB","5","5","1","1","3643","","","","1400","1400","1400","BPOBBBHG_02262","PCKNBOAI_01325","LDKIDLOJ_02410","HHCDGDKF_02659","GIPNDHBP_02511"
"group_2627","","Putative NAD(P)H nitroreductase","5","5","1","1","3545","","","","671","671","671","BPOBBBHG_02336","PCKNBOAI_01249","LDKIDLOJ_02491","HHCDGDKF_02731","GIPNDHBP_02591"
"sarU","","HTH-type transcriptional regulator SarU","5","5","1","1","3573","","","","743","743","743","BPOBBBHG_02312","PCKNBOAI_01272","LDKIDLOJ_02466","HHCDGDKF_02707","GIPNDHBP_02566"
"cysK","","Cysteine synthase","5","5","1","1","606","","","","932","932","932","BPOBBBHG_00467","PCKNBOAI_00633","LDKIDLOJ_00445","HHCDGDKF_00594","GIPNDHBP_00462"
"group_2636","","Phosphotransferase system, EIIC","5","5","1","1","1485","","","","1061","1061","1061","BPOBBBHG_01723","PCKNBOAI_01923","LDKIDLOJ_01793","HHCDGDKF_01897","GIPNDHBP_01903"
"group_2637","","NAD-dependent malic enzyme","5","5","1","1","1357","","","","1229","1229","1229","BPOBBBHG_01563","PCKNBOAI_02084","LDKIDLOJ_01634","HHCDGDKF_01730","GIPNDHBP_01738"
"group_2638","","transcriptional regulator SlyA","5","5","1","1","2849","","","","455","455","455","BPOBBBHG_02441","PCKNBOAI_01142","LDKIDLOJ_02604","HHCDGDKF_02857","GIPNDHBP_02696"
"group_2639","","hypothetical protein","5","5","1","1","3461","","","","902","902","902","BPOBBBHG_01268","PCKNBOAI_02379","LDKIDLOJ_01271","HHCDGDKF_01421","GIPNDHBP_01375"
"group_2640","","hypothetical protein","5","5","1","1","2187","","","","851","851","851","BPOBBBHG_00792","PCKNBOAI_00293","LDKIDLOJ_00765","HHCDGDKF_00941","GIPNDHBP_00823"
"metN2","","Methionine import ATP-binding protein MetN 2","5","5","1","1","2198","","","","1025","1025","1025","BPOBBBHG_00788","PCKNBOAI_00297","LDKIDLOJ_00761","HHCDGDKF_00914","GIPNDHBP_00801"
"mecA","","Adapter protein MecA 1","5","5","1","1","1567","","","","719","719","719","BPOBBBHG_00876","PCKNBOAI_00208","LDKIDLOJ_00852","HHCDGDKF_01027","GIPNDHBP_00979"
"addA","","ATP-dependent helicase/nuclease subunit A","5","5","1","1","1600","","","","3653","3653","3653","BPOBBBHG_00846","PCKNBOAI_00238","LDKIDLOJ_00819","HHCDGDKF_00995","GIPNDHBP_00949"
"hslO","","33 kDa chaperonin","5","5","1","1","607","","","","881","881","881","BPOBBBHG_00466","PCKNBOAI_00634","LDKIDLOJ_00444","HHCDGDKF_00593","GIPNDHBP_00461"
"abgB","","p-aminobenzoyl-glutamate hydrolase subunit B","5","5","1","1","395","","","","1184","1184","1184","BPOBBBHG_01951","PCKNBOAI_01636","LDKIDLOJ_02102","HHCDGDKF_02345","GIPNDHBP_02197"
"pepS","","Aminopeptidase PepS","5","5","1","1","137","","","","1247","1247","1247","BPOBBBHG_01774","PCKNBOAI_01871","LDKIDLOJ_01847","HHCDGDKF_01950","GIPNDHBP_01955"
"group_2647","","ABC-2 family transporter protein","5","5","1","1","64","","","","1232","1232","1232","BPOBBBHG_02159","PCKNBOAI_01427","LDKIDLOJ_02303","HHCDGDKF_02556","GIPNDHBP_02408"
"group_2648","","hypothetical protein","5","5","1","1","171","","","","602","602","602","BPOBBBHG_01807","PCKNBOAI_01838","LDKIDLOJ_01882","HHCDGDKF_01983","GIPNDHBP_01989"
"group_2649","","Fusaric acid resistance protein family protein","5","5","1","1","147","","","","986","986","986","BPOBBBHG_01784","PCKNBOAI_01861","LDKIDLOJ_01857","HHCDGDKF_01960","GIPNDHBP_01965"
"group_2650","","Abi-like protein","5","5","1","1","2314","","","","974","974","974","BPOBBBHG_00342","PCKNBOAI_00753","LDKIDLOJ_00330","HHCDGDKF_00447","GIPNDHBP_00340"
"kipA_1","","KipI antagonist","5","5","1","1","2237","","","","1004","1004","1004","BPOBBBHG_00693","PCKNBOAI_00417","LDKIDLOJ_00663","HHCDGDKF_00817","GIPNDHBP_00705"
"group_2652","","putative membrane protein essB","5","5","1","1","1110","","","","1334","1334","1334","BPOBBBHG_00235","PCKNBOAI_00833","LDKIDLOJ_00251","HHCDGDKF_00297","GIPNDHBP_00254"
"rplM","","50S ribosomal protein L13","5","5","1","1","296","","","","437","437","437","BPOBBBHG_02040","PCKNBOAI_01549","LDKIDLOJ_02184","HHCDGDKF_02436","GIPNDHBP_02288"
"dinB1","","DNA polymerase IV 1","5","5","1","1","3415","","","","1262","1262","1262","BPOBBBHG_01242","PCKNBOAI_02405","LDKIDLOJ_01226","HHCDGDKF_01396","GIPNDHBP_01350"
"pdhD","","Dihydrolipoyl dehydrogenase","5","5","1","1","1221","","","","1406","1406","1406","BPOBBBHG_00975","PCKNBOAI_00111","LDKIDLOJ_00951","HHCDGDKF_01128","GIPNDHBP_01077"
"ktrB_2","","Ktr system potassium uptake protein B","5","5","1","1","555","","","","1307","1307","1307","BPOBBBHG_01840","PCKNBOAI_01745","LDKIDLOJ_01986","HHCDGDKF_02082","GIPNDHBP_02085"
"rplD","","50S ribosomal protein L4","5","5","1","1","266","","","","623","623","623","BPOBBBHG_02071","PCKNBOAI_01518","LDKIDLOJ_02215","HHCDGDKF_02467","GIPNDHBP_02319"
"group_2658","","Ureidoglycolate lyase","5","5","1","1","1599","","","","902","902","902","BPOBBBHG_00847","PCKNBOAI_00237","LDKIDLOJ_00820","HHCDGDKF_00996","GIPNDHBP_00950"
"sle1_2","","N-acetylmuramoyl-L-alanine amidase sle1","5","5","1","1","3069","","","","797","797","797","BPOBBBHG_00641","PCKNBOAI_00469","LDKIDLOJ_00610","HHCDGDKF_00765","GIPNDHBP_00652"
"group_2660","","putative sensor-like histidine kinase","5","5","1","1","1031","","","","1556","1556","1556","BPOBBBHG_00174","PCKNBOAI_00894","LDKIDLOJ_00188","HHCDGDKF_00233","GIPNDHBP_00190"
"dnaG","","DNA primase","5","5","1","1","1914","","","","1799","1817","1809","BPOBBBHG_01436","PCKNBOAI_02211","LDKIDLOJ_01507","HHCDGDKF_01590","GIPNDHBP_01610"
"lacB","","Galactose-6-phosphate isomerase subunit LacB","5","5","1","1","336","","","","515","515","515","BPOBBBHG_02015","PCKNBOAI_01571","LDKIDLOJ_02167","HHCDGDKF_02415","GIPNDHBP_02268"
"metP_2","","Methionine import system permease protein MetP","5","5","1","1","2199","","","","695","695","695","BPOBBBHG_00789","PCKNBOAI_00296","LDKIDLOJ_00762","HHCDGDKF_00915","GIPNDHBP_00802"
"lacG","","6-phospho-beta-galactosidase","5","5","1","1","341","","","","1412","1412","1412","BPOBBBHG_02010","PCKNBOAI_01576","LDKIDLOJ_02161","HHCDGDKF_02410","GIPNDHBP_02263"
"group_2665","","hypothetical protein","5","5","1","1","1902","","","","707","707","707","BPOBBBHG_01448","PCKNBOAI_02199","LDKIDLOJ_01519","HHCDGDKF_01602","GIPNDHBP_01622"
"ppaX","","Pyrophosphatase PpaX","5","5","1","1","2943","","","","683","683","683","BPOBBBHG_00525","PCKNBOAI_00575","LDKIDLOJ_00503","HHCDGDKF_00649","GIPNDHBP_00520"
"ltaA","","putative glycolipid permease LtaA","5","5","1","1","1305","","","","1190","1190","1190","BPOBBBHG_00893","PCKNBOAI_00191","LDKIDLOJ_00869","HHCDGDKF_01046","GIPNDHBP_00997"
"glpQ1_2","","putative glycerophosphoryl diester phosphodiesterase 1","5","5","1","1","1198","","","","926","926","926","BPOBBBHG_00998","PCKNBOAI_00088","LDKIDLOJ_00974","HHCDGDKF_01151","GIPNDHBP_01100"
"asp2","","Accessory Sec system protein Asp2","5","5","1","1","2825","","","","1571","1571","1571","BPOBBBHG_02464","PCKNBOAI_01119","LDKIDLOJ_02627","HHCDGDKF_02880","GIPNDHBP_02719"
"gfo_1","","Glucose--fructose oxidoreductase","5","5","1","1","1025","","","","1076","1076","1076","BPOBBBHG_00168","PCKNBOAI_00900","LDKIDLOJ_00182","HHCDGDKF_00227","GIPNDHBP_00184"
"dnaB","","Replication initiation and membrane attachment protein","5","5","1","1","1340","","","","1400","1400","1400","BPOBBBHG_01547","PCKNBOAI_02100","LDKIDLOJ_01618","HHCDGDKF_01711","GIPNDHBP_01720"
"group_2671","","manganese transport protein MntH","5","5","1","1","1873","","","","1229","1232","1229","BPOBBBHG_01476","PCKNBOAI_02170","LDKIDLOJ_01547","HHCDGDKF_01634","GIPNDHBP_01650"
"scrB","","Sucrose-6-phosphate hydrolase","5","5","1","1","537","","","","1484","1484","1484","BPOBBBHG_01856","PCKNBOAI_01732","LDKIDLOJ_02004","HHCDGDKF_02098","GIPNDHBP_02102"
"tetA_1","","Tetracycline resistance protein, class B","5","5","1","1","2635","","","","1172","1172","1172","BPOBBBHG_00068","PCKNBOAI_00997","LDKIDLOJ_00091","HHCDGDKF_00137","GIPNDHBP_00089"
"ypdA","","Sensor histidine kinase YpdA","5","5","1","1","1067","","","","1754","1754","1754","BPOBBBHG_00210","PCKNBOAI_00858","LDKIDLOJ_00225","HHCDGDKF_00270","GIPNDHBP_00226"
"isdE","","High-affinity heme uptake system protein IsdE","5","5","1","1","3173","","","","878","878","878","BPOBBBHG_01010","PCKNBOAI_00076","LDKIDLOJ_00986","HHCDGDKF_01163","GIPNDHBP_01112"
"yxeP_3","","putative hydrolase YxeP","5","5","1","1","3454","","","","1151","1151","1151","BPOBBBHG_01275","PCKNBOAI_02372","LDKIDLOJ_01278","HHCDGDKF_01428","GIPNDHBP_01382"
"rplI","","50S ribosomal protein L9","5","5","1","1","2740","","","","446","446","446","BPOBBBHG_00015","PCKNBOAI_01043","LDKIDLOJ_00015","HHCDGDKF_00015","GIPNDHBP_00015"
"mgtE","","Magnesium transporter MgtE","5","5","1","1","1312","","","","1385","1385","1385","BPOBBBHG_00886","PCKNBOAI_00198","LDKIDLOJ_00862","HHCDGDKF_01038","GIPNDHBP_00990"
"hrcA","","Heat-inducible transcription repressor HrcA","5","5","1","1","1894","","","","977","977","977","BPOBBBHG_01456","PCKNBOAI_02191","LDKIDLOJ_01527","HHCDGDKF_01610","GIPNDHBP_01630"
"group_2680","","Nucleoside recognition","5","5","1","1","358","","","","1370","1370","1370","BPOBBBHG_01995","PCKNBOAI_01592","LDKIDLOJ_02146","HHCDGDKF_02392","GIPNDHBP_02245"
"ywiB","","putative beta-barrel protein YwiB","5","5","1","1","3003","","","","416","416","416","BPOBBBHG_00585","PCKNBOAI_00526","LDKIDLOJ_00554","HHCDGDKF_00709","GIPNDHBP_00580"
"group_269","","hypothetical protein","5","5","1","1","1046","","","","173","173","173","BPOBBBHG_00189","PCKNBOAI_00879","LDKIDLOJ_00204","HHCDGDKF_00249","GIPNDHBP_00205"
"gerN","","Na(+)/H(+)-K(+) antiporter GerN","5","5","1","1","1311","","","","1844","1844","1844","BPOBBBHG_00887","PCKNBOAI_00197","LDKIDLOJ_00863","HHCDGDKF_01039","GIPNDHBP_00991"
"arcD","","Arginine/ornithine antiporter","5","5","1","1","2844","","","","1430","1430","1430","BPOBBBHG_02446","PCKNBOAI_01137","LDKIDLOJ_02609","HHCDGDKF_02862","GIPNDHBP_02701"
"lcfB","","Long-chain-fatty-acid--CoA ligase","5","5","1","1","1041","","","","1505","1505","1505","BPOBBBHG_00184","PCKNBOAI_00884","LDKIDLOJ_00198","HHCDGDKF_00243","GIPNDHBP_00200"
"rnmV_1","","Ribonuclease M5","5","5","1","1","627","","","","536","536","536","BPOBBBHG_00446","PCKNBOAI_00654","LDKIDLOJ_00424","HHCDGDKF_00573","GIPNDHBP_00441"
"hmp","","Flavohemoprotein","5","5","1","1","1047","","","","1145","1145","1145","BPOBBBHG_00190","PCKNBOAI_00878","LDKIDLOJ_00205","HHCDGDKF_00250","GIPNDHBP_00206"
"ettA","","Energy-dependent translational throttle protein EttA","5","5","1","1","2239","","","","1877","1877","1877","BPOBBBHG_00695","PCKNBOAI_00415","LDKIDLOJ_00665","HHCDGDKF_00819","GIPNDHBP_00707"
"proC","","Pyrroline-5-carboxylate reductase","5","5","1","1","1970","","","","815","815","815","BPOBBBHG_01379","PCKNBOAI_02270","LDKIDLOJ_01450","HHCDGDKF_01533","GIPNDHBP_01552"
"glcR","","HTH-type transcriptional repressor GlcR","5","5","1","1","3034","","","","761","764","763","BPOBBBHG_00674","PCKNBOAI_00436","LDKIDLOJ_00644","HHCDGDKF_00798","GIPNDHBP_00686"
"mnmA","","tRNA-specific 2-thiouridylase MnmA","5","5","1","1","1856","","","","1118","1118","1118","BPOBBBHG_01493","PCKNBOAI_02153","LDKIDLOJ_01564","HHCDGDKF_01651","GIPNDHBP_01667"
"gltX","","Glutamate--tRNA ligase","5","5","1","1","2916","","","","1454","1454","1454","BPOBBBHG_00498","PCKNBOAI_00602","LDKIDLOJ_00476","HHCDGDKF_00622","GIPNDHBP_00493"
"group_2705","","hypothetical protein","5","5","1","1","1346","","","","1487","1487","1487","BPOBBBHG_01553","PCKNBOAI_02094","LDKIDLOJ_01624","HHCDGDKF_01717","GIPNDHBP_01726"
"opuD_2","","Glycine betaine transporter OpuD","5","5","1","1","345","","","","1562","1562","1562","BPOBBBHG_02006","PCKNBOAI_01580","LDKIDLOJ_02157","HHCDGDKF_02406","GIPNDHBP_02259"
"group_2707","","hypothetical protein","5","5","1","1","2981","","","","341","341","341","BPOBBBHG_00562","PCKNBOAI_00539","LDKIDLOJ_00540","HHCDGDKF_00686","GIPNDHBP_00557"
"tagA","","Putative N-acetylmannosaminyltransferase","5","5","1","1","3100","","","","764","764","764","BPOBBBHG_00613","PCKNBOAI_00497","LDKIDLOJ_00582","HHCDGDKF_00737","GIPNDHBP_00624"
"malP","","PTS system maltose-specific EIICB component","5","5","1","1","47","","","","1604","1604","1604","BPOBBBHG_02143","PCKNBOAI_01444","LDKIDLOJ_02287","HHCDGDKF_02539","GIPNDHBP_02391"
"ispD1","","2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase 1","5","5","1","1","1058","","","","716","716","716","BPOBBBHG_00201","PCKNBOAI_00867","LDKIDLOJ_00216","HHCDGDKF_00261","GIPNDHBP_00217"
"mrcA","","Penicillin-binding protein 1A","5","5","1","1","1384","","","","905","905","905","BPOBBBHG_01590","PCKNBOAI_02057","LDKIDLOJ_01661","HHCDGDKF_01757","GIPNDHBP_01766"
"group_2711","","hypothetical protein","5","5","1","1","1446","","","","908","908","908","BPOBBBHG_01644","PCKNBOAI_02001","LDKIDLOJ_01723","HHCDGDKF_01815","GIPNDHBP_01824"
"group_2712","","hypothetical protein","5","5","1","1","1149","","","","1031","1031","1031","BPOBBBHG_00260","PCKNBOAI_00810","LDKIDLOJ_00272","HHCDGDKF_00325","GIPNDHBP_00283"
"metG","","Methionine--tRNA ligase","5","5","1","1","629","","","","1973","1973","1973","BPOBBBHG_00444","PCKNBOAI_00656","LDKIDLOJ_00422","HHCDGDKF_00571","GIPNDHBP_00439"
"group_2714","","hypothetical protein","5","5","1","1","260","","","","887","887","887","BPOBBBHG_02077","PCKNBOAI_01512","LDKIDLOJ_02221","HHCDGDKF_02473","GIPNDHBP_02325"
"argF","","Ornithine carbamoyltransferase","5","5","1","1","3215","","","","1001","1001","1001","BPOBBBHG_01044","PCKNBOAI_00041","LDKIDLOJ_01021","HHCDGDKF_01198","GIPNDHBP_01146"
"gutB_1","","L-idonate 5-dehydrogenase","5","5","1","1","1059","","","","1025","1025","1025","BPOBBBHG_00202","PCKNBOAI_00866","LDKIDLOJ_00217","HHCDGDKF_00262","GIPNDHBP_00218"
"menB","","1,4-dihydroxy-2-naphthoyl-CoA synthase","5","5","1","1","1274","","","","821","821","821","BPOBBBHG_00925","PCKNBOAI_00162","LDKIDLOJ_00902","HHCDGDKF_01078","GIPNDHBP_01028"
"carB","","Carbamoyl-phosphate synthase large chain","5","5","1","1","3251","","","","3173","3173","3173","BPOBBBHG_01080","PCKNBOAI_02563","LDKIDLOJ_01057","HHCDGDKF_01236","GIPNDHBP_01183"
"recO","","DNA repair protein RecO","5","5","1","1","1910","","","","746","746","746","BPOBBBHG_01440","PCKNBOAI_02207","LDKIDLOJ_01511","HHCDGDKF_01594","GIPNDHBP_01614"
"araB","","Ribulokinase","5","5","1","1","2940","","","","1637","1637","1637","BPOBBBHG_00522","PCKNBOAI_00578","LDKIDLOJ_00500","HHCDGDKF_00646","GIPNDHBP_00517"
"cidB","","Holin-like protein CidB","5","5","1","1","3524","","","","689","689","689","BPOBBBHG_02354","PCKNBOAI_01231","LDKIDLOJ_02513","HHCDGDKF_02749","GIPNDHBP_02609"
"ecsA","","ABC-type transporter ATP-binding protein EcsA","5","5","1","1","1507","","","","740","740","740","BPOBBBHG_01701","PCKNBOAI_01945","LDKIDLOJ_01771","HHCDGDKF_01875","GIPNDHBP_01881"
"group_2729","","putative response regulatory protein","5","5","1","1","1030","","","","758","758","758","BPOBBBHG_00173","PCKNBOAI_00895","LDKIDLOJ_00187","HHCDGDKF_00232","GIPNDHBP_00189"
"tagB_1","","Putative CDP-glycerol:glycerophosphate glycerophosphotransferase","5","5","1","1","1060","","","","1694","1694","1694","BPOBBBHG_00203","PCKNBOAI_00865","LDKIDLOJ_00218","HHCDGDKF_00263","GIPNDHBP_00219"
"ydeN","","Putative hydrolase YdeN","5","5","1","1","1514","","","","554","554","554","BPOBBBHG_01695","PCKNBOAI_01951","LDKIDLOJ_01765","HHCDGDKF_01869","GIPNDHBP_01875"
"dnaC","","Replicative DNA helicase","5","5","1","1","2739","","","","1400","1400","1400","BPOBBBHG_00016","PCKNBOAI_01042","LDKIDLOJ_00016","HHCDGDKF_00016","GIPNDHBP_00016"
"rnj1","","Ribonuclease J 1","5","5","1","1","1228","","","","1697","1697","1697","BPOBBBHG_00968","PCKNBOAI_00118","LDKIDLOJ_00944","HHCDGDKF_01121","GIPNDHBP_01070"
"tagE_2","","putative poly(glycerol-phosphate) alpha-glucosyltransferase","5","5","1","1","2954","","","","1490","1490","1490","BPOBBBHG_00535","PCKNBOAI_00566","LDKIDLOJ_00513","HHCDGDKF_00659","GIPNDHBP_00530"
"hisS","","Histidine--tRNA ligase","5","5","1","1","1847","","","","1262","1262","1262","BPOBBBHG_01502","PCKNBOAI_02144","LDKIDLOJ_01573","HHCDGDKF_01660","GIPNDHBP_01676"
"ptsG_2","","PTS system glucose-specific EIICBA component","5","5","1","1","1049","","","","1529","1529","1529","BPOBBBHG_00192","PCKNBOAI_00876","LDKIDLOJ_00207","HHCDGDKF_00252","GIPNDHBP_00208"
"metE","","5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase","5","5","1","1","800","","","","2228","2228","2228","BPOBBBHG_00305","PCKNBOAI_00765","LDKIDLOJ_00318","HHCDGDKF_00435","GIPNDHBP_00328"
"ddl","","D-alanine--D-alanine ligase","5","5","1","1","445","","","","1070","1070","1070","BPOBBBHG_01902","PCKNBOAI_01685","LDKIDLOJ_02053","HHCDGDKF_02296","GIPNDHBP_02148"
"group_2739","","putative N-acetyltransferase","5","5","1","1","3225","","","","440","440","440","BPOBBBHG_01054","PCKNBOAI_02590","LDKIDLOJ_01031","HHCDGDKF_01208","GIPNDHBP_01156"
"yydK","","putative HTH-type transcriptional regulator YydK","5","5","1","1","1072","","","","704","704","704","BPOBBBHG_00214","PCKNBOAI_00854","LDKIDLOJ_00230","HHCDGDKF_00275","GIPNDHBP_00230"
"artQ","","Arginine transport system permease protein ArtQ","5","5","1","1","1486","","","","1457","1457","1457","BPOBBBHG_01722","PCKNBOAI_01924","LDKIDLOJ_01792","HHCDGDKF_01896","GIPNDHBP_01902"
"erpA","","Iron-sulfur cluster insertion protein ErpA","5","5","1","1","1627","","","","359","359","359","BPOBBBHG_00819","PCKNBOAI_00265","LDKIDLOJ_00792","HHCDGDKF_00968","GIPNDHBP_00922"
"tagH_1","","Teichoic acids export ATP-binding protein TagH","5","5","1","1","3099","","","","794","794","794","BPOBBBHG_00614","PCKNBOAI_00496","LDKIDLOJ_00583","HHCDGDKF_00738","GIPNDHBP_00625"
"trpD2","","Anthranilate phosphoribosyltransferase 2","5","5","1","1","3421","","","","998","998","998","BPOBBBHG_01247","PCKNBOAI_02400","LDKIDLOJ_01231","HHCDGDKF_01401","GIPNDHBP_01355"
"hxlB","","3-hexulose-6-phosphate isomerase","5","5","1","1","2960","","","","548","548","548","BPOBBBHG_00541","PCKNBOAI_00560","LDKIDLOJ_00519","HHCDGDKF_00665","GIPNDHBP_00536"
"mrpE","","Na(+)/H(+) antiporter subunit E","5","5","1","1","3109","","","","482","482","482","BPOBBBHG_00604","PCKNBOAI_00507","LDKIDLOJ_00573","HHCDGDKF_00728","GIPNDHBP_00615"
"ybiT","","putative ABC transporter ATP-binding protein YbiT","5","5","1","1","3460","","","","1601","1601","1601","BPOBBBHG_01269","PCKNBOAI_02378","LDKIDLOJ_01272","HHCDGDKF_01422","GIPNDHBP_01376"
"group_2747","","hypothetical protein","5","5","1","1","1641","","","","383","383","383","BPOBBBHG_00805","PCKNBOAI_00280","LDKIDLOJ_00778","HHCDGDKF_00954","GIPNDHBP_00908"
"sarT","","HTH-type transcriptional regulator SarT","5","5","1","1","3575","","","","356","356","356","BPOBBBHG_02311","PCKNBOAI_01273","LDKIDLOJ_02465","HHCDGDKF_02706","GIPNDHBP_02565"
"pdhC_1","","Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex","5","5","1","1","1222","","","","1292","1292","1292","BPOBBBHG_00974","PCKNBOAI_00112","LDKIDLOJ_00950","HHCDGDKF_01127","GIPNDHBP_01076"
"ilvC","","Ketol-acid reductoisomerase","5","5","1","1","474","","","","1004","1004","1004","BPOBBBHG_01871","PCKNBOAI_01717","LDKIDLOJ_02020","HHCDGDKF_02265","GIPNDHBP_02117"
"dck","","Deoxyadenosine/deoxycytidine kinase","5","5","1","1","2944","","","","662","662","662","BPOBBBHG_00526","PCKNBOAI_00574","LDKIDLOJ_00504","HHCDGDKF_00650","GIPNDHBP_00521"
"srrB","","Sensor protein SrrB","5","5","1","1","1986","","","","1751","1751","1751","BPOBBBHG_01367","PCKNBOAI_02282","LDKIDLOJ_01438","HHCDGDKF_01521","GIPNDHBP_01540"
"tdk","","Thymidine kinase","5","5","1","1","409","","","","599","599","599","BPOBBBHG_01937","PCKNBOAI_01650","LDKIDLOJ_02088","HHCDGDKF_02331","GIPNDHBP_02183"
"group_2754","","major facilitator superfamily transporter","5","5","1","1","3624","","","","1193","1193","1193","BPOBBBHG_02279","PCKNBOAI_01308","LDKIDLOJ_02427","HHCDGDKF_02676","GIPNDHBP_02528"
"group_2755","","putative acetyl-CoA acyltransferase","5","5","1","1","798","","","","1181","1181","1181","BPOBBBHG_00303","PCKNBOAI_00767","LDKIDLOJ_00316","HHCDGDKF_00433","GIPNDHBP_00326"
"group_2756","","hypothetical protein","5","5","1","1","2352","","","","680","680","680","BPOBBBHG_01827","PCKNBOAI_01818","LDKIDLOJ_01908","HHCDGDKF_02003","GIPNDHBP_02009"
"engB","","putative GTP-binding protein EngB","5","5","1","1","1807","","","","590","590","590","BPOBBBHG_01536","PCKNBOAI_02111","LDKIDLOJ_01607","HHCDGDKF_01700","GIPNDHBP_01709"
"glyA","","Serine hydroxymethyltransferase","5","5","1","1","415","","","","1238","1238","1238","BPOBBBHG_01931","PCKNBOAI_01656","LDKIDLOJ_02082","HHCDGDKF_02325","GIPNDHBP_02177"
"accC","","Biotin carboxylase","5","5","1","1","1871","","","","1361","1361","1361","BPOBBBHG_01478","PCKNBOAI_02168","LDKIDLOJ_01549","HHCDGDKF_01636","GIPNDHBP_01652"
"group_276","","hypothetical protein","5","5","1","1","1087","","","","1505","1523","1519","BPOBBBHG_00229","PCKNBOAI_00839","LDKIDLOJ_00245","HHCDGDKF_00290","GIPNDHBP_00246"
"group_2760","","tetratricopeptide repeat protein","5","5","1","1","1752","","","","1244","1244","1244","BPOBBBHG_01341","PCKNBOAI_02309","LDKIDLOJ_01343","HHCDGDKF_01494","GIPNDHBP_01448"
"group_2761","","3-methyladenine DNA glycosylase","5","5","1","1","67","","","","608","608","608","BPOBBBHG_02162","PCKNBOAI_01424","LDKIDLOJ_02306","HHCDGDKF_02559","GIPNDHBP_02411"
"ydhF","","Oxidoreductase YdhF","5","5","1","1","3044","","","","908","908","908","BPOBBBHG_00664","PCKNBOAI_00446","LDKIDLOJ_00634","HHCDGDKF_00788","GIPNDHBP_00676"
"nadE","","NH(3)-dependent NAD(+) synthetase","5","5","1","1","172","","","","821","821","821","BPOBBBHG_01808","PCKNBOAI_01837","LDKIDLOJ_01883","HHCDGDKF_01984","GIPNDHBP_01990"
"cshA","","DEAD-box ATP-dependent RNA helicase CshA","5","5","1","1","447","","","","1520","1520","1520","BPOBBBHG_01900","PCKNBOAI_01687","LDKIDLOJ_02051","HHCDGDKF_02294","GIPNDHBP_02146"
"kdpA","","Potassium-transporting ATPase potassium-binding subunit","5","5","1","1","451","","","","1676","1676","1676","BPOBBBHG_01897","PCKNBOAI_01691","LDKIDLOJ_02048","HHCDGDKF_02291","GIPNDHBP_02143"
"kdpB","","Potassium-transporting ATPase ATP-binding subunit","5","5","1","1","452","","","","2027","2027","2027","BPOBBBHG_01896","PCKNBOAI_01692","LDKIDLOJ_02047","HHCDGDKF_02290","GIPNDHBP_02142"
"brnQ_3","","Branched-chain amino acid transport system 2 carrier protein","5","5","1","1","3444","","","","1343","1343","1343","BPOBBBHG_01285","PCKNBOAI_02363","LDKIDLOJ_01287","HHCDGDKF_01438","GIPNDHBP_01392"
"mnmG","","tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG","5","5","1","1","2758","","","","1877","1877","1877","BPOBBBHG_02522","PCKNBOAI_01061","LDKIDLOJ_02683","HHCDGDKF_02943","GIPNDHBP_02779"
"ybaN","","Inner membrane protein YbaN","5","5","1","1","978","","","","383","383","383","BPOBBBHG_00117","PCKNBOAI_00951","LDKIDLOJ_00137","HHCDGDKF_00185","GIPNDHBP_00140"
"group_277","","ABC-2 family transporter protein","5","5","1","1","1090","","","","2717","3029","2966","BPOBBBHG_00232","PCKNBOAI_00836","LDKIDLOJ_00248","HHCDGDKF_00294","GIPNDHBP_00251"
"miaA","","tRNA dimethylallyltransferase","5","5","1","1","3351","","","","935","935","935","BPOBBBHG_01179","PCKNBOAI_02464","LDKIDLOJ_01159","HHCDGDKF_01335","GIPNDHBP_01282"
